README.md|Update README
config.php|Update database configuration
functions.php|Add product handling functions
index.php|Improve homepage
product.php|Fix product detail display
cart.php|Add shopping cart functionality
checkout.php|Update checkout page
login.php|Fix login issues
register.php|Add registration validation
search.php|Improve search functionality
category.php|Add category pagination
admin/index.php|Update admin dashboard
admin/products.php|Add product CRUD operations
admin/orders.php|Manage orders
admin/users.php|Manage users
assets/css/style.css|Update UI styling
assets/js/script.js|Add JavaScript functionality
header.php|Improve header
footer.php|Update footer
functions.php|Optimize database queries
